time_period,period2,time_identifier,la_name,new_la_code,headcount
202122,2021-22,Academic year,Haringey,E09000014,21098
202122,2021-22,Academic year,Harrow,E09000015,21791
202122,2021-22,Academic year,Havering,E09000016,24414
202122,2021-22,Academic year,Hillingdon,E09000017,29331
202122,2021-22,Academic year,Hounslow,E09000018,23834
202122,2021-22,Academic year,Kingston upon Thames,E09000021,14179
202122,2021-22,Academic year,Merton,E09000024,17231
202122,2021-22,Academic year,Newham,E09000025,34483
202122,2021-22,Academic year,Redbridge,E09000026,28960
202122,2021-22,Academic year,Richmond upon Thames,E09000027,16900
202122,2021-22,Academic year,Sutton,E09000029,19030
202122,2021-22,Academic year,Waltham Forest,E09000031,24919
202223,2022-23,Academic year,City of London,E09000001,271
202223,2022-23,Academic year,Camden,E09000007,10662
202223,2022-23,Academic year,Greenwich,E09000011,25384
202223,2022-23,Academic year,Hackney,E09000012,18401
202223,2022-23,Academic year,Hammersmith and Fulham,E09000013,9319
202223,2022-23,Academic year,Islington,E09000019,13645
202223,2022-23,Academic year,Kensington and Chelsea,E09000020,6823
202223,2022-23,Academic year,Lambeth,E09000022,19624
202223,2022-23,Academic year,Lewisham,E09000023,22845
202223,2022-23,Academic year,Southwark,E09000028,21935
202223,2022-23,Academic year,Tower Hamlets,E09000030,25244
202223,2022-23,Academic year,Wandsworth,E09000032,18845
202223,2022-23,Academic year,Westminster,E09000033,8350
202223,2022-23,Academic year,Barking and Dagenham,E09000002,24539
202223,2022-23,Academic year,Barnet,E09000003,30711
202223,2022-23,Academic year,Bexley,E09000004,22487
202223,2022-23,Academic year,Brent,E09000005,26222
202223,2022-23,Academic year,Bromley,E09000006,27801
202223,2022-23,Academic year,Croydon,E09000008,32166
202223,2022-23,Academic year,Ealing,E09000009,30405
202223,2022-23,Academic year,Enfield,E09000010,30171
202223,2022-23,Academic year,Haringey,E09000014,20895
202223,2022-23,Academic year,Harrow,E09000015,21965
202223,2022-23,Academic year,Havering,E09000016,24885
202223,2022-23,Academic year,Hillingdon,E09000017,29378
202223,2022-23,Academic year,Hounslow,E09000018,23891
202223,2022-23,Academic year,Kingston upon Thames,E09000021,14019
202223,2022-23,Academic year,Merton,E09000024,16930
202223,2022-23,Academic year,Newham,E09000025,34294
202223,2022-23,Academic year,Redbridge,E09000026,28901
202223,2022-23,Academic year,Richmond upon Thames,E09000027,16697
202223,2022-23,Academic year,Sutton,E09000029,19124
202223,2022-23,Academic year,Waltham Forest,E09000031,24727
